WKT,Name,LongDescription,Category,SubCategory,Code,Address,Postcode,Chain,Borough
POINT (443204.512832786 516152.089966479),The Glass Forge,Other Commercial Services Commercial Services,Other Commercial Services,Commercial Services,142,Preston Lane,TS18 3RG,,STOCKTON ON TEES
POINT (443213.040576062 516925.339456437),Enterprise Car & Van Hire - Stockton-On-Tees,Automotive & Transport Rental Car Agency,Automotive & Transport,Rental Car Agency,13,Yarm Road,TS18 3RP,Enterprise,STOCKTON ON TEES
POINT (443213.040576062 516925.339456437),Preston Farm Motor Co,Retail & Consumer Goods Used Car Dealer,Retail & Consumer Goods,Used Car Dealer,178,Yarm Road,TS18 3RP,,STOCKTON ON TEES
POINT (443213.040576062 516925.339456437),Longlands Car Sales,Retail & Consumer Goods Used Car Dealer,Retail & Consumer Goods,Used Car Dealer,178,Yarm Road,TS18 3RP,,STOCKTON ON TEES
POINT (443215.347868647 516674.869400643),Motability Scheme At smart Of Stockton-On-Tees,Health & Wellness Healthcare and Healthcare Support Services,Health & Wellness,Healthcare and Healthcare Support Services,124,Concorde Way,TS18 3,,STOCKTON ON TEES
POINT (443216.074259076 516673.318349941),smart Of Stockton-On-Tees,Retail & Consumer Goods Used Car Dealer,Retail & Consumer Goods,Used Car Dealer,178,Concorde Way,TS18 3,,STOCKTON ON TEES
POINT (443216.915535758 516905.568222692),The Preston Farm,Financial & Professional Services ATM,Financial & Professional Services,ATM,68,Yarm Road,TS18 3RT,BARCLAYS,STOCKTON ON TEES
POINT (443216.915535758 516905.568222692),Evans Halshaw,Automotive & Transport Car Repair,Automotive & Transport,Car Repair,4,Yarm Road,TS18 3RT,,STOCKTON ON TEES
POINT (443216.915535758 516905.568222692),Brewers Fayre,Food & Drink Restaurant,Food & Drink,Restaurant,100,Yarm Road,TS18 3RT,Brewers Fayre,STOCKTON ON TEES
POINT (443217.666023428 512110.46969404),Nimbus Properties NE,Financial & Professional Services Property Management,Financial & Professional Services,Property Management,81,6 Friarswood Close,TS15 9JG,,STOCKTON ON TEES
POINT (443219.72480894 517251.008871614),Cleveland Meats,Food & Drink Specialty Food Store,Food & Drink,Specialty Food Store,101,,TS18 4,,STOCKTON ON TEES
POINT (443221.892130938 519488.695838215),Scissors Hair Design,Health & Wellness Hair Salon,Health & Wellness,Hair Salon,123,Grange Avenue,TS18 4LT,,STOCKTON ON TEES
POINT (443223.508577894 526251.096116299),Penny Bailey Recruitment & Training,Financial & Professional Services Human Resources and Recruiting Services,Financial & Professional Services,Human Resources and Recruiting Services,75,Mountstewart,TS22 5QN,,STOCKTON ON TEES
POINT (443226.647374726 511811.547470667),Little Sprouts Catering Community Interest Company,Food & Drink Catering and Food Services,Food & Drink,Catering and Food Services,87,4 Winpenny Close,TS15 9XG,,STOCKTON ON TEES
POINT (443229.753479746 511873.448127642),Yarm Captain Tortue,Retail & Consumer Goods Specialty Store,Retail & Consumer Goods,Specialty Store,176,15 St Nicholas Gardens,TS15 9SJ,,STOCKTON ON TEES
POINT (443235.261274761 521278.703076696),Stephen Ridley,Retail & Consumer Goods Floor and Carpet,Retail & Consumer Goods,Floor and Carpet,156,36 Romsey Road,TS19 9DF,,STOCKTON ON TEES
POINT (443243.98389054 511895.949964381),Grey Wolf Property Limited,Financial & Professional Services Property Management,Financial & Professional Services,Property Management,81,6 Daltry Close,TS15 9XQ,,STOCKTON ON TEES
POINT (443246.912263628 519564.160243413),Sadie May Cakes,Food & Drink Catering and Food Services,Food & Drink,Catering and Food Services,87,,TS18 4LS,,STOCKTON ON TEES
POINT (443249.229307082 516806.834614447),Ams Vehicles,Retail & Consumer Goods Used Car Dealer,Retail & Consumer Goods,Used Car Dealer,178,Eris Road,TS18 3,,STOCKTON ON TEES
POINT (443254.254851349 522309.035070113),Cleveland Nuffield Hospital,Health & Wellness Hospital or Health Care Facility,Health & Wellness,Hospital or Health Care Facility,127,Junction Road,TS20 1PX,,STOCKTON ON TEES
POINT (443256.520537376 520713.250870331),Debonair Cakes,Food & Drink Catering and Food Services,Food & Drink,Catering and Food Services,87,3 Wasdale Grove,TS19 0PP,,STOCKTON ON TEES
POINT (443257.346698357 516060.006896106),CS Mortgage Solutions,Financial & Professional Services Finance and Insurance,Financial & Professional Services,Finance and Insurance,72,Preston Lane,TS18 3RG,,STOCKTON ON TEES
POINT (443260.123725624 512414.330312595),Levendale under Fives Playgroup,Education & Training School,Education & Training,School,33,Mount Leven Road,TS15 9RJ,,STOCKTON ON TEES
POINT (443261.763338187 522294.083004202),Cleveland Hearing Service,Health & Wellness Medical Services-Clinics,Health & Wellness,Medical Services-Clinics,128,,TS20 1PX,,STOCKTON ON TEES
POINT (443261.763338187 522294.083004202),Sodexo Tees Nuffield H,Food & Drink Catering and Food Services,Food & Drink,Catering and Food Services,87,,TS20 1PX,,STOCKTON ON TEES
POINT (443261.763338187 522294.083004202),Nuffield Hospital,Food & Drink Catering and Food Services,Food & Drink,Catering and Food Services,87,,TS20 1PX,,STOCKTON ON TEES
POINT (443267.949781919 512545.268958433),Yarm School of Motoring,Education & Training Education Facility,Education & Training,Education Facility,31,37 Mount Leven Road,TS15 9RJ,,STOCKTON ON TEES
POINT (443272.966196119 521610.240286549),Alan Finkle,"Construction, Manufacturing & Trades Landscaping Services","Construction, Manufacturing & Trades",Landscaping Services,22,99 Rochester Road,TS19 9EW,,STOCKTON ON TEES
POINT (443275.822629529 509983.023494296),Yarm Flooring,Retail & Consumer Goods Floor and Carpet,Retail & Consumer Goods,Floor and Carpet,156,5 Forest Lane,TS15 9LX,,STOCKTON ON TEES
POINT (443276.414548011 516641.840968048),Motability Scheme At Sytner Mercedes-Benz Teeside,Health & Wellness Healthcare and Healthcare Support Services,Health & Wellness,Healthcare and Healthcare Support Services,124,Moss Way,TS18 3,,STOCKTON ON TEES
POINT (443280.297866027 516928.201777805),Premier Inn,Hospitality & Lodging Hotel,Hospitality & Lodging,Hotel,136,,TS18 3,Premier Inn,STOCKTON ON TEES
POINT (443280.453304207 512408.068797756),McColl's,Retail & Consumer Goods Convenience Store,Retail & Consumer Goods,Convenience Store,150,98A Mount Leven Road,TS15 9,McColl's,STOCKTON ON TEES
POINT (443280.453304207 512408.068797756),Bells Stores,Retail & Consumer Goods Grocery,Retail & Consumer Goods,Grocery,163,98 Mount Leven Road,TS15 9RJ,,STOCKTON ON TEES
POINT (443282.059193037 518584.534742113),Friends Of Ropner Park Cafe,Food & Drink Catering and Food Services,Food & Drink,Catering and Food Services,87,Nursery Lane,TS18 4DR,,STOCKTON ON TEES
POINT (443289.758358211 513953.826505033),Rodney Pangbourne,Financial & Professional Services Finance and Insurance,Financial & Professional Services,Finance and Insurance,72,Pennal Grove,TS17 5HP,,STOCKTON ON TEES
POINT (443292.25843065 519971.218789683),Spicy Frog,"Construction, Manufacturing & Trades Landscaping Services","Construction, Manufacturing & Trades",Landscaping Services,22,62 Commondale Avenue,TS19 0RL,,STOCKTON ON TEES
POINT (443296.651053044 509822.41920804),Eleventh Dimen,Food & Drink Bars and Pubs,Food & Drink,Bars and Pubs,84,Levington Mews,TS15 9WF,,STOCKTON ON TEES
POINT (443299.340124357 519694.858654698),St Pauls Church,Food & Drink Restaurant,Food & Drink,Restaurant,100,,TS18 4PF,,STOCKTON ON TEES
POINT (443303.885380755 517162.781512318),Physioworld Stockton on Tees,Health & Wellness Therapist,Health & Wellness,Therapist,132,Yarm Road,TS18 3,,STOCKTON ON TEES
POINT (443304.064467677 510025.020566777),Arncliffe Garage,Automotive & Transport Car Repair,Automotive & Transport,Car Repair,4,2 Forest Lane,TS15 9LY,,STOCKTON ON TEES
POINT (443304.064467677 510025.020566777),Ken Vidgen,Automotive & Transport Car Repair,Automotive & Transport,Car Repair,4,2 Forest Lane,TS15 9LY,,STOCKTON ON TEES
POINT (443307.096864924 518672.240677365),The Mayo Hotel,Hospitality & Lodging Hotel,Hospitality & Lodging,Hotel,136,,TS18 4HN,,STOCKTON ON TEES
POINT (443307.986771052 520909.709388004),N E Property Investments,Financial & Professional Services Property Management,Financial & Professional Services,Property Management,81,205 Darlington Lane,TS19 0NE,,STOCKTON ON TEES
POINT (443310.876476242 512423.268751317),Levendale Primary School,Education & Training School,Education & Training,School,33,Mount Leven Road,TS15 9,,STOCKTON ON TEES
POINT (443314.030029031 509848.400769809),Crown Hotel,Food & Drink Bars and Pubs,Food & Drink,Bars and Pubs,84,Thirsk Road,TS15 9LT,,STOCKTON ON TEES
POINT (443319.153701712 514198.917792139),The Bonny Boutique,Health & Wellness Hair and Beauty,Health & Wellness,Hair and Beauty,122,Pagan Drive,TS17 5JS,,STOCKTON ON TEES
POINT (443322.631548463 522301.337995559),Junction Beauty,Health & Wellness Hair Salon,Health & Wellness,Hair Salon,123,109 Junction Road,TS20 1PX,,STOCKTON ON TEES
POINT (443326.358289362 516710.529211265),Edmundson Electrical,Retail & Consumer Goods Consumer Electronics Store,Retail & Consumer Goods,Consumer Electronics Store,148,Wellington Court,TS18 3TA,,STOCKTON ON TEES
POINT (443326.358289362 516710.529211265),Roxby Training Solutions,Education & Training School,Education & Training,School,33,Wellington Court,TS18 3TA,,STOCKTON ON TEES
POINT (443326.358289362 516710.529211265),Clinkard Charles,Retail & Consumer Goods Shoestore,Retail & Consumer Goods,Shoestore,175,Wellington Court,TS18 3TA,,STOCKTON ON TEES
POINT (443326.358289362 516710.529211265),Costain,"Construction, Manufacturing & Trades Engineering and Scientific Services","Construction, Manufacturing & Trades",Engineering and Scientific Services,19,,TS18 3TA,,STOCKTON ON TEES
POINT (443326.358289362 516710.529211265),Joslin Rhodes,Financial & Professional Services Finance and Insurance,Financial & Professional Services,Finance and Insurance,72,Wellington Court,TS18 3TA,,STOCKTON ON TEES
POINT (443326.358289362 516710.529211265),Joslin Rhodes,Financial & Professional Services Finance and Insurance,Financial & Professional Services,Finance and Insurance,72,Wellington Court,TS18 3TA,,STOCKTON ON TEES
POINT (443330.143444823 519651.194219296),Mason Construction Teesside Limited,"Construction, Manufacturing & Trades Construction","Construction, Manufacturing & Trades",Construction,18,69 Bishopton Road,TS18 4PE,,STOCKTON ON TEES
POINT (443344.301824116 517219.027443239),Mezzanine Hair Salon,Health & Wellness Hair Salon,Health & Wellness,Hair Salon,123,Yarm Road,TS18 3,,STOCKTON ON TEES
POINT (443344.806631304 517220.367595138),Hartwell School,Education & Training Education Facility,Education & Training,Education Facility,31,,TS18 3TN,,STOCKTON ON TEES
POINT (443347.577779392 517228.294782504),Nigel Bourke & Co,Financial & Professional Services Finance and Insurance,Financial & Professional Services,Finance and Insurance,72,Yarm Road,TS18 3,,STOCKTON ON TEES
POINT (443349.944884127 523826.185590365),Rosedene House,Hospitality & Lodging Hotel or Motel,Hospitality & Lodging,Hotel or Motel,137,,TS20 1PQ,,STOCKTON ON TEES
POINT (443351.317913897 512515.569372173),Levendale Rescue Centre,Education & Training Education Facility,Education & Training,Education Facility,31,Mount Leven Road,TS15 9,,STOCKTON ON TEES
POINT (443351.940962758 517552.163931655),Orion Security,"Construction, Manufacturing & Trades Locksmiths and Security Systems Services","Construction, Manufacturing & Trades",Locksmiths and Security Systems Services,23,Melrose Drive,TS18 3UE,,STOCKTON ON TEES
POINT (443368.868597269 519297.681821781),Grays Road Wine Store,Food & Drink Food-Beverage Specialty Store,Food & Drink,Food-Beverage Specialty Store,96,59 Grays Road,TS18 4LL,,STOCKTON ON TEES
POINT (443370.149141769 509916.257050896),The Baby Retreat,Health & Wellness Medical Services-Clinics,Health & Wellness,Medical Services-Clinics,128,Levington Court,TS15 9WE,,STOCKTON ON TEES
POINT (443371.836684371 519305.165995459),Studio 57,Health & Wellness Hair Salon,Health & Wellness,Hair Salon,123,57 Grays Road,TS18 4,,STOCKTON ON TEES
POINT (443371.836684371 519305.165995459),1825 Models St,Retail & Consumer Goods Specialty Store,Retail & Consumer Goods,Specialty Store,176,57B Grays Road,TS18 4,,STOCKTON ON TEES
POINT (443372.614560066 519413.896968296),Jonathan Spencer Consultants,"Construction, Manufacturing & Trades Locksmiths and Security Systems Services","Construction, Manufacturing & Trades",Locksmiths and Security Systems Services,23,32 Grays Road,TS18 4LX,,STOCKTON ON TEES
POINT (443373.97709327 518657.629926004),Park House,Health & Wellness Nursing Home,Health & Wellness,Nursing Home,130,2 Richmond Road,TS18 4DS,,STOCKTON ON TEES
POINT (443376.987814443 518415.506641336),Home on the Road Rentals NE,Hospitality & Lodging Hotel or Motel,Hospitality & Lodging,Hotel or Motel,137,61 Richmond Road,TS18 4DT,,STOCKTON ON TEES
POINT (443381.726469609 513881.701321303),Malcolm Hordon,Other Commercial Services Commercial Services,Other Commercial Services,Commercial Services,142,Bala Close,TS17 5HS,,STOCKTON ON TEES
POINT (443381.726469609 513881.701321303),Shaun Hordon B,"Construction, Manufacturing & Trades Specialty Trade Contractors","Construction, Manufacturing & Trades",Specialty Trade Contractors,30,Bala Close,TS17 5HS,,STOCKTON ON TEES
POINT (443390.264830198 520958.231973338),Mark Foley Tree Specialists,"Construction, Manufacturing & Trades Landscaping Services","Construction, Manufacturing & Trades",Landscaping Services,22,126 Darlington Lane,TS19 0NR,,STOCKTON ON TEES
POINT (443391.265441798 518546.511182355),Violets Enterprise Limited,"Entertainment, Arts & Leisure Entertainment and Recreation","Entertainment, Arts & Leisure",Entertainment and Recreation,43,25 Richmond Road,TS18 4DS,,STOCKTON ON TEES
POINT (443394.746055221 521839.528820416),Nuffield Physio,Health & Wellness Therapist,Health & Wellness,Therapist,132,Ashton Road,TS20 1RE,,STOCKTON ON TEES
POINT (443395.253548275 518582.827368672),Integrated Business Solutions Limited,Financial & Professional Services Property Management,Financial & Professional Services,Property Management,81,15 Richmond Road,TS18 4DS,,STOCKTON ON TEES
POINT (443403.164139374 517199.444511694),Stuart BENTLEY Osteopath,Health & Wellness Therapist,Health & Wellness,Therapist,132,Innovation Avenue,TS18 3,,STOCKTON ON TEES
POINT (443403.300928026 513328.403777561),Stuart Mallaby Piano,Education & Training Education Facility,Education & Training,Education Facility,31,Nevern Crescent,TS17 5EX,,STOCKTON ON TEES
POINT (443412.794697347 519608.46809544),Corrosion and Materials Engineering,"Construction, Manufacturing & Trades Engineering and Scientific Services","Construction, Manufacturing & Trades",Engineering and Scientific Services,19,1 Grays Road,TS18 4LN,,STOCKTON ON TEES
POINT (443416.358907627 513167.172605608),SPS Signs,Financial & Professional Services Printing and Publishing,Financial & Professional Services,Printing and Publishing,80,Caldey Gardens,TS17 5HW,,STOCKTON ON TEES
POINT (443419.907618688 518526.975154641),Soccer Bargains,"Entertainment, Arts & Leisure Sporting Goods Store","Entertainment, Arts & Leisure",Sporting Goods Store,60,Hampton Road,TS18 4DU,,STOCKTON ON TEES
POINT (443428.950992196 518439.703990959),Bashy's Distribution,Retail & Consumer Goods Consumer Goods,Retail & Consumer Goods,Consumer Goods,149,,TS18 4DX,,STOCKTON ON TEES
POINT (443432.862922844 527504.825202392),Junction Beauty,Health & Wellness Hair and Beauty,Health & Wellness,Hair and Beauty,122,Lynnwood Drive,TS22 5,,STOCKTON ON TEES
POINT (443434.520273539 522501.711837445),What A Racquet Coaching Services,"Entertainment, Arts & Leisure Recreation Center","Entertainment, Arts & Leisure",Recreation Center,58,26 Countisbury Road,TS20 1PZ,,STOCKTON ON TEES
POINT (443434.602114616 522357.377521298),Tees Valley Properties Limited,Financial & Professional Services Property Management,Financial & Professional Services,Property Management,81,8 Countisbury Road,TS20 1PZ,,STOCKTON ON TEES
POINT (443445.88371527 516694.30486276),PORSCHE Centre Teesside,Automotive & Transport Automobile Dealer,Automotive & Transport,Automobile Dealer,2,Wellington Court,TS18 3,PORSCHE,STOCKTON ON TEES
POINT (443446.917649998 519949.987115602),Oak Tree Primary School,Education & Training School,Education & Training,School,33,,TS19 0SE,,STOCKTON ON TEES
POINT (443447.706207983 510891.805892289),Hutchinson Hobbs Farm Shop And Butchers,Retail & Consumer Goods Consumer Goods,Retail & Consumer Goods,Consumer Goods,149,,TS15 9PB,,STOCKTON ON TEES
POINT (443454.74170298 517639.272930403),Signature Tuition,Education & Training Training and Development,Education & Training,Training and Development,34,West End Way,TS18 3,,STOCKTON ON TEES
POINT (443456.357171571 518448.199754045),Cafe Lush,Food & Drink Restaurant,Food & Drink,Restaurant,100,Windsor Road,TS18 4DZ,,STOCKTON ON TEES
POINT (443456.727078024 514924.867206404),C P I Cost Consultancy Limited,Other Commercial Services Commercial Services,Other Commercial Services,Commercial Services,142,12 Woodchester Grove,TS17 5LJ,,STOCKTON ON TEES
POINT (443457.114559027 516771.862654202),Cardtronics,Financial & Professional Services ATM,Financial & Professional Services,ATM,68,De Havilland Avenue,TS18 3TH,Cardtronics,STOCKTON ON TEES
POINT (443457.114559027 516771.862654202),Virgin Media,Food & Drink Restaurant,Food & Drink,Restaurant,100,De Havilland Avenue,TS18 3TH,,STOCKTON ON TEES
POINT (443458.255430505 519641.840644569),St Pauls Church,"Government, Community & Religious Church","Government, Community & Religious",Church,107,Bishopton Road,TS18 4PB,,STOCKTON ON TEES
POINT (443460.91040976 518003.780911763),Ropner Park,"Entertainment, Arts & Leisure Park-Recreation Area","Entertainment, Arts & Leisure",Park-Recreation Area,56,Hartburn Lane,TS18 4EF,,STOCKTON ON TEES
POINT (443462.04973648 526969.932522465),Java Cafe,Food & Drink Restaurant,Food & Drink,Restaurant,100,Wynyard Business Park,TS22 5FD,,STOCKTON ON TEES
POINT (443462.04973648 526969.932522465),Dine Contract Catering,Food & Drink Catering and Food Services,Food & Drink,Catering and Food Services,87,Wynyard Business Park,TS22 5FD,,STOCKTON ON TEES
POINT (443464.649809191 515112.222110704),Happy Brokers,Financial & Professional Services Finance and Insurance,Financial & Professional Services,Finance and Insurance,72,Frocester Court,TS17 5LE,,STOCKTON ON TEES
