WKT,Name,LongDescription,Category,SubCategory,Code,Address,Postcode,Chain,Borough
POINT (436138.084122184 516418.815638612),BP,Automotive & Transport Gas Station,Automotive & Transport,Gas Station,6,,DL2 1,BP,STOCKTON ON TEES
POINT (436151.010433831 516420.5871479),A66 Sadberge EB 4,Automotive & Transport Parking Only,Automotive & Transport,Parking Only,11,,DL2 1,,STOCKTON ON TEES
POINT (436167.066194089 516476.577248306),Tands Harker Horseboxes,"Government, Community & Religious Government Office","Government, Community & Religious",Government Office,111,,DL2 1,,STOCKTON ON TEES
POINT (436645.959937227 516261.61679359),A66 Sadberge WB 5,Automotive & Transport Parking Only,Automotive & Transport,Parking Only,11,Darlington Road,DL2 1,,STOCKTON ON TEES
POINT (436854.947260301 518187.223588753),Ray Wade Events,Food & Drink Catering and Food Services,Food & Drink,Catering and Food Services,87,,DL2 1SX,,STOCKTON ON TEES
POINT (437174.652672461 523557.977921078),Riano's Village,Retail & Consumer Goods Consumer Goods,Retail & Consumer Goods,Consumer Goods,149,,TS21 1FD,,STOCKTON ON TEES
POINT (437174.652672461 523557.977921078),The Village Cafe,Food & Drink Restaurant,Food & Drink,Restaurant,100,Ironmasters Way,TS21 1FD,,STOCKTON ON TEES
POINT (437174.652672461 523557.977921078),Track N Trail Cycles,Automotive & Transport Bicycle and Bicycle Accessories Shop,Automotive & Transport,Bicycle and Bicycle Accessories Shop,3,Ironmasters Way,TS21 1FD,,STOCKTON ON TEES
POINT (437174.652672461 523557.977921078),GPS Leaflet Distribution,"Financial & Professional Services Advertising-Marketing, PR and Market Research",Financial & Professional Services,"Advertising-Marketing, PR and Market Research",67,Ironmasters Way,TS21 1FD,,STOCKTON ON TEES
POINT (437174.652672461 523557.977921078),Green Thumb,"Construction, Manufacturing & Trades Landscaping Services","Construction, Manufacturing & Trades",Landscaping Services,22,Ironmasters Way,TS21 1FD,,STOCKTON ON TEES
POINT (437203.662656297 523406.871076347),The Royal,Food & Drink Bars and Pubs,Food & Drink,Bars and Pubs,84,West Street,TS21 1JU,,STOCKTON ON TEES
POINT (437205.173173646 523451.396179773),Learn with Me,Education & Training Education Facility,Education & Training,Education Facility,31,11 West Street,TS21 1JU,,STOCKTON ON TEES
POINT (437218.438626841 523417.007032321),Heffe Mojo,Retail & Consumer Goods Convenience Store,Retail & Consumer Goods,Convenience Store,150,,TS21 1JU,,STOCKTON ON TEES
POINT (437241.250383533 523550.731651169),Goldswains Transport,Automotive & Transport Rental Car Agency,Automotive & Transport,Rental Car Agency,13,,TS21 1LE,,STOCKTON ON TEES
POINT (437253.367111047 523411.728163266),Stillington Post Office & Shop,Retail & Consumer Goods Consumer Goods,Retail & Consumer Goods,Consumer Goods,149,Redmarshall Street,TS21 1JS,,STOCKTON ON TEES
POINT (437253.367111047 523411.728163266),Park Lane Surgery,Health & Wellness Family-General Practice Physicians,Health & Wellness,Family-General Practice Physicians,120,Redmarshall Street,TS21 1JS,,STOCKTON ON TEES
POINT (437253.367111047 523411.728163266),Post Office,"Government, Community & Religious Post Office","Government, Community & Religious",Post Office,116,Redmarshall Street,TS21 1JS,Post Office,STOCKTON ON TEES
POINT (437253.367111047 523411.728163266),Stillington Post Office & Park Shop,Retail & Consumer Goods Specialty Store,Retail & Consumer Goods,Specialty Store,176,Redmarshall Street,TS21 1JS,,STOCKTON ON TEES
POINT (437342.953343855 523540.21271147),Oakmill Commercial Development Limited,"Construction, Manufacturing & Trades Locksmiths and Security Systems Services","Construction, Manufacturing & Trades",Locksmiths and Security Systems Services,23,Ironmasters Way,TS21 1,,STOCKTON ON TEES
POINT (437430.736777085 523525.575594835),Catering Creations Limited,Food & Drink Restaurant,Food & Drink,Restaurant,100,Ironmasters Way,TS21 1LB,,STOCKTON ON TEES
POINT (437465.273092572 523253.218223786),Edd & Dave Pannett The Workshop,Automotive & Transport Car Repair,Automotive & Transport,Car Repair,4,Mount Pleasant,TS21 1JL,,STOCKTON ON TEES
POINT (437527.789509687 523365.793327013),Carol's,Health & Wellness Hair Salon,Health & Wellness,Hair Salon,123,Park Crescent,TS21 1JF,,STOCKTON ON TEES
POINT (437527.789509687 523365.793327013),Stillington Chippy,Food & Drink Take Out and Delivery Only,Food & Drink,Take Out and Delivery Only,103,Park Crescent,TS21 1JF,,STOCKTON ON TEES
POINT (437540.665238783 523575.443504163),Kumo Detailing,Automotive & Transport Car Wash,Automotive & Transport,Car Wash,5,Stillington Industrial Estate,TS21 1AF,,STOCKTON ON TEES
POINT (437540.665238783 523575.443504163),50 Cal Embroidery,Retail & Consumer Goods Arts and Craft Supplies,Retail & Consumer Goods,Arts and Craft Supplies,145,Stillington Industrial Estate,TS21 1AF,,STOCKTON ON TEES
POINT (437540.665238783 523575.443504163),Azul Door Services,"Construction, Manufacturing & Trades Construction","Construction, Manufacturing & Trades",Construction,18,Stillington Industrial Estate,TS21 1AF,,STOCKTON ON TEES
POINT (437587.019604083 523547.559753175),Stillington Youth & Community Centre,"Entertainment, Arts & Leisure Community Center","Entertainment, Arts & Leisure",Community Center,40,Lowson Street,TS21 1JE,,STOCKTON ON TEES
POINT (437675.804128549 523435.229882012),IQ Driving,Education & Training Education Facility,Education & Training,Education Facility,31,9 Weare Grove,TS21 1NX,,STOCKTON ON TEES
POINT (437754.54667494 523592.343846788),Stockton Country Parish,"Government, Community & Religious Church","Government, Community & Religious",Church,107,Morrison Street,TS21 1JD,,STOCKTON ON TEES
POINT (437754.54667494 523592.343846788),William Cassidi Church of England Primary School,Education & Training School,Education & Training,School,33,Morrison Street,TS21 1JD,,STOCKTON ON TEES
POINT (437787.354317887 516103.884872819),Global Plumbin,"Construction, Manufacturing & Trades Specialty Trade Contractors","Construction, Manufacturing & Trades",Specialty Trade Contractors,30,Mill Lane,TS21 1DQ,,STOCKTON ON TEES
POINT (437871.328391102 516363.308259729),Londonderry Arms,Food & Drink Bars and Pubs,Food & Drink,Bars and Pubs,84,The Willow Chase,TS21 1PD,,STOCKTON ON TEES
POINT (437876.293249573 516404.412087507),Plazawise,Financial & Professional Services Property Management,Financial & Professional Services,Property Management,81,22 The Willow Chase,TS21 1PD,,STOCKTON ON TEES
POINT (437917.129348089 516216.240820942),Vane Arms,Food & Drink Bars and Pubs,Food & Drink,Bars and Pubs,84,Darlington Road,TS21 1DB,,STOCKTON ON TEES
POINT (438084.837089904 516403.474729453),St Marys C of E Primary School,Education & Training Education Facility,Education & Training,Education Facility,31,The Green,TS21 1DL,,STOCKTON ON TEES
POINT (438087.785851462 516391.258401458),St Mary's Before and After School Club,Health & Wellness Medical Services-Clinics,Health & Wellness,Medical Services-Clinics,128,,TS21 1DL,,STOCKTON ON TEES
POINT (438198.930900377 511064.135279857),Margaret Dawson,Food & Drink Specialty Food Store,Food & Drink,Specialty Food Store,101,,TS16 0QS,,STOCKTON ON TEES
POINT (438198.930900377 511064.135279857),MSG Bike Gear,"Entertainment, Arts & Leisure Sporting Goods Store","Entertainment, Arts & Leisure",Sporting Goods Store,60,,TS16 0QS,,STOCKTON ON TEES
POINT (438264.230898136 516337.092087716),Sun Flour Vegan Bakery,Retail & Consumer Goods Consumer Goods,Retail & Consumer Goods,Consumer Goods,149,,TS21 1PL,,STOCKTON ON TEES
POINT (438333.380197894 516501.254171316),Londonderry Arms,Food & Drink Bars and Pubs,Food & Drink,Bars and Pubs,84,,TS21 1BX,,STOCKTON ON TEES
POINT (438344.630792196 516471.302978337),The Derry,Food & Drink Bars and Pubs,Food & Drink,Bars and Pubs,84,Darlington Road,TS21 1BX,,STOCKTON ON TEES
POINT (438344.630792196 516471.302978337),Mount Pleasant Country House,Hospitality & Lodging Bed and Breakfast,Hospitality & Lodging,Bed and Breakfast,133,Darlington Road,TS21 1BX,,STOCKTON ON TEES
POINT (438546.340289571 516030.102311964),Coatham Woods,"Entertainment, Arts & Leisure Sports Activities","Entertainment, Arts & Leisure",Sports Activities,62,Long Newton Lane,TS21 1,,STOCKTON ON TEES
POINT (438687.397307127 511710.426512898),Roxloe Equestrian Centre,Education & Training Education Facility,Education & Training,Education Facility,31,,TS16 0,,STOCKTON ON TEES
POINT (438722.01333276 521222.246588486),12th Man Solutions Limited,Financial & Professional Services Management and Consulting Services,Financial & Professional Services,Management and Consulting Services,78,6 Derwent Close,TS21 1HS,,STOCKTON ON TEES
POINT (438735.740569257 518035.742895642),C G Robinson,Automotive & Transport Rental and Leasing,Automotive & Transport,Rental and Leasing,12,Sandy Leas Lane,TS21 1,,STOCKTON ON TEES
POINT (438735.749070517 518034.741455204),Wearmouth Construction & Plant,"Construction, Manufacturing & Trades Construction","Construction, Manufacturing & Trades",Construction,18,Sandy Leas Lane,TS21 1,,STOCKTON ON TEES
POINT (438749.018118896 521223.699954262),Eala Construction Limited,"Construction, Manufacturing & Trades Construction","Construction, Manufacturing & Trades",Construction,18,7 Derwent Close,TS21 1HS,,STOCKTON ON TEES
POINT (438828.099337805 525978.028217434),Acuclean,"Construction, Manufacturing & Trades Repair and Maintenance Services","Construction, Manufacturing & Trades",Repair and Maintenance Services,28,Thorpe Larches,TS21 3HH,,STOCKTON ON TEES
POINT (438828.099337805 525978.028217434),Eden Theatrical Costumiers,Retail & Consumer Goods Specialty Store,Retail & Consumer Goods,Specialty Store,176,Thorpe Larches,TS21 3HH,,STOCKTON ON TEES
POINT (438866.587660136 521124.991272202),Oh My Goodness,Retail & Consumer Goods Consumer Goods,Retail & Consumer Goods,Consumer Goods,149,,TS21 1EP,,STOCKTON ON TEES
POINT (438866.828672225 521111.862053905),Ship,Food & Drink Bars and Pubs,Food & Drink,Bars and Pubs,84,Church Lane,TS21 1EP,,STOCKTON ON TEES
POINT (438866.828672225 521111.862053905),The,Food & Drink Casual Dining,Food & Drink,Casual Dining,86,Church Lane,TS21 1EP,,STOCKTON ON TEES
POINT (438935.570621804 514046.605576907),Thermal Mate,Financial & Professional Services Printing and Publishing,Financial & Professional Services,Printing and Publishing,80,,TS16 0,,STOCKTON ON TEES
POINT (438940.716675392 521065.308452019),Mains Nursing Home,Health & Wellness Nursing Home,Health & Wellness,Nursing Home,130,Drovers Lane,TS21 1,,STOCKTON ON TEES
POINT (439024.890739686 518107.3054836),Roseworth Groundworkers,"Construction, Manufacturing & Trades Engineering and Scientific Services","Construction, Manufacturing & Trades",Engineering and Scientific Services,19,,TS21 1BT,,STOCKTON ON TEES
POINT (439111.920039103 514060.796866508),Wilkinsons Landscapes,Retail & Consumer Goods Garden Center,Retail & Consumer Goods,Garden Center,160,,TS16 0QH,,STOCKTON ON TEES
POINT (439114.510489501 519120.71300707),Jonathan Marsh,Retail & Consumer Goods Specialty Store,Retail & Consumer Goods,Specialty Store,176,,TS21 1BQ,,STOCKTON ON TEES
POINT (439141.663939287 519498.18450051),Arborcut Tree Services,"Construction, Manufacturing & Trades Landscaping Services","Construction, Manufacturing & Trades",Landscaping Services,22,,TS21 1BG,,STOCKTON ON TEES
POINT (439141.731456694 519497.851238394),Jem Nurseries,Retail & Consumer Goods Specialty Store,Retail & Consumer Goods,Specialty Store,176,Darlington Back Lane,TS21 1BG,,STOCKTON ON TEES
POINT (439141.731456694 519497.851238394),Alexandra Builders,"Construction, Manufacturing & Trades Construction","Construction, Manufacturing & Trades",Construction,18,Darlington Back Lane,TS21 1BG,,STOCKTON ON TEES
POINT (439157.489075684 521640.266464316),CMC,Retail & Consumer Goods Used Car Dealer,Retail & Consumer Goods,Used Car Dealer,178,2 Green Leas,TS21 1EJ,,STOCKTON ON TEES
POINT (439202.65743649 512387.939502553),Herring Plant Hire,"Construction, Manufacturing & Trades Construction","Construction, Manufacturing & Trades",Construction,18,,TS16 0QW,,STOCKTON ON TEES
POINT (439245.762680462 521851.793589376),Taylor's Catering,Food & Drink Catering and Food Services,Food & Drink,Catering and Food Services,87,10 West Garth,TS21 1DZ,,STOCKTON ON TEES
POINT (439274.083220097 521782.485939131),Carlton Sub Post Office,"Government, Community & Religious Post Office","Government, Community & Religious",Post Office,116,2 West Garth,TS21 1DZ,Post Office,STOCKTON ON TEES
POINT (439381.028656807 518809.193222098),J.C. Marsh Sporting Clays,Industrial & Agricultural Farming,Industrial & Agricultural,Farming,140,,TS21 1,,STOCKTON ON TEES
POINT (439435.694238706 521986.747989061),Project Services Limited,"Construction, Manufacturing & Trades Engineering and Scientific Services","Construction, Manufacturing & Trades",Engineering and Scientific Services,19,Battersby Green,TS21 1PN,,STOCKTON ON TEES
POINT (439450.824113583 521813.834783119),Smiths,Food & Drink Bars and Pubs,Food & Drink,Bars and Pubs,84,Carlton Village,TS21 1EA,,STOCKTON ON TEES
POINT (439478.593295276 517294.075914248),A66 Elton EB 1,Automotive & Transport Parking Only,Automotive & Transport,Parking Only,11,A66,TS21 1,,STOCKTON ON TEES
POINT (439572.204449494 515337.357273566),Coatham Wood,Automotive & Transport Parking Lot,Automotive & Transport,Parking Lot,10,Long Newton Lane,TS16 0,,STOCKTON ON TEES
POINT (439578.173987409 521876.699751565),Ripon Farm Services,Industrial & Agricultural Farming,Industrial & Agricultural,Farming,140,,TS21 1EB,,STOCKTON ON TEES
POINT (439581.621531082 521710.139935754),Dennis Riley & Co Limited,Financial & Professional Services Finance and Insurance,Financial & Professional Services,Finance and Insurance,72,Willow Bridge Close,TS21 1,,STOCKTON ON TEES
POINT (439680.724758399 521788.564826438),M B Draughting,"Construction, Manufacturing & Trades Engineering and Scientific Services","Construction, Manufacturing & Trades",Engineering and Scientific Services,19,14 Chapel Gardens,TS21 1QB,,STOCKTON ON TEES
POINT (439681.530248329 517196.793346357),Sutton Arms,Food & Drink Bars and Pubs,Food & Drink,Bars and Pubs,84,Darlington Road,TS21 1AH,,STOCKTON ON TEES
POINT (439866.220082241 522681.665863634),John Foster Gunmakers Limited,"Entertainment, Arts & Leisure Sports Activities","Entertainment, Arts & Leisure",Sports Activities,62,,TS21 3,,STOCKTON ON TEES
POINT (439897.840744607 523528.468808895),Thorpe Thewles Cycles,Automotive & Transport Bicycle and Bicycle Accessories Shop,Automotive & Transport,Bicycle and Bicycle Accessories Shop,3,Durham Road,TS21 3,,STOCKTON ON TEES
POINT (439915.8840239 522647.491462039),Longlast Residential Care Home,Health & Wellness Medical Services-Clinics,Health & Wellness,Medical Services-Clinics,128,,TS21 3LB,,STOCKTON ON TEES
POINT (439980.510282173 523567.696887848),The Garden Doctor,"Construction, Manufacturing & Trades Landscaping Services","Construction, Manufacturing & Trades",Landscaping Services,22,7 St James Close,TS21 3LH,,STOCKTON ON TEES
POINT (440030.302513214 521610.228716712),I R & C L Clayton,"Government, Community & Religious Government Office","Government, Community & Religious",Government Office,111,Letch Lane,TS21 1ED,,STOCKTON ON TEES
POINT (440047.799601083 523364.528962185),Hamilton Russell Arms,Food & Drink Bars and Pubs,Food & Drink,Bars and Pubs,84,Bank Terrace,TS21 3JW,,STOCKTON ON TEES
POINT (440095.455860042 523462.542761288),The Vane Arms,Food & Drink Bars and Pubs,Food & Drink,Bars and Pubs,84,,TS21 3JU,,STOCKTON ON TEES
POINT (440135.062335903 520066.549459964),Briarwood,Retail & Consumer Goods Consumer Goods,Retail & Consumer Goods,Consumer Goods,149,Drovers Lane,TS21 1,,STOCKTON ON TEES
POINT (440142.901283519 523393.40862168),Shoebox Records,"Entertainment, Arts & Leisure Entertainment and Recreation","Entertainment, Arts & Leisure",Entertainment and Recreation,43,Wynyard Road,TS21 3,,STOCKTON ON TEES
POINT (440159.646983107 519608.954057342),Longfield Service Station,Automotive & Transport Gas Station,Automotive & Transport,Gas Station,6,Darlington Back Lane,TS21 1,,STOCKTON ON TEES
POINT (440165.374539602 519597.31988947),Longfield Logs,Retail & Consumer Goods Home Improvement-Hardware Store,Retail & Consumer Goods,Home Improvement-Hardware Store,165,Darlington Back Lane,TS21 1,,STOCKTON ON TEES
POINT (440191.396914721 523425.217637541),Wynyard Property Solutions,Financial & Professional Services Property Management,Financial & Professional Services,Property Management,81,25 Wynyard Road,TS21 3JL,,STOCKTON ON TEES
POINT (440194.928254667 516123.310333634),Zarina Pizzeria,Food & Drink Restaurant,Food & Drink,Restaurant,100,Coatham Stob,TS21 1AJ,,STOCKTON ON TEES
POINT (440222.817711437 514205.087237401),Tees Valley Lakes,"Construction, Manufacturing & Trades Outdoor Service","Construction, Manufacturing & Trades",Outdoor Service,26,A67,TS16 0,,STOCKTON ON TEES
POINT (440240.725750067 524424.194832735),Wynyard Woodland Country Park,"Entertainment, Arts & Leisure Park-Recreation Area","Entertainment, Arts & Leisure",Park-Recreation Area,56,,TS21 3JG,,STOCKTON ON TEES
POINT (440240.725750067 524424.194832735),Castle Eden Walkway Country Park,"Entertainment, Arts & Leisure Park-Recreation Area","Entertainment, Arts & Leisure",Park-Recreation Area,56,,TS21 3JG,,STOCKTON ON TEES
POINT (440240.725750067 524424.194832735),Wynyard Woodland Park Gift Shop & Tea Rooms,Food & Drink Restaurant,Food & Drink,Restaurant,100,,TS21 3JG,,STOCKTON ON TEES
POINT (440253.948071129 519260.805785206),Fox's Garden Shop,Retail & Consumer Goods Convenience Store,Retail & Consumer Goods,Convenience Store,150,Elton Lane Gardens,TS21 1AZ,,STOCKTON ON TEES
POINT (440258.769888669 521690.470909328),Express Blinds,"Construction, Manufacturing & Trades Glass and Window","Construction, Manufacturing & Trades",Glass and Window,20,Letch Lane,TS21 1EE,,STOCKTON ON TEES
POINT (440266.317947442 523405.402763214),Afternoon Tea at Wynyard Hall,Food & Drink Restaurant,Food & Drink,Restaurant,100,Wynyard Court,TS21 3LN,,STOCKTON ON TEES
POINT (440269.885841119 517381.428872563),Bondcare Care Home,Health & Wellness Medical Services-Clinics,Health & Wellness,Medical Services-Clinics,128,,TS21 1AG,,STOCKTON ON TEES
POINT (440269.885841119 517381.428872563),Elton Hall Care Home,Health & Wellness Nursing Home,Health & Wellness,Nursing Home,130,,TS21 1AG,,STOCKTON ON TEES
POINT (440269.885841119 517381.428872563),Garrison Radio Limited,"Financial & Professional Services Advertising-Marketing, PR and Market Research",Financial & Professional Services,"Advertising-Marketing, PR and Market Research",67,,TS21 1AG,,STOCKTON ON TEES
POINT (440454.750899863 519732.188344044),Precision Arborists,"Construction, Manufacturing & Trades Landscaping Services","Construction, Manufacturing & Trades",Landscaping Services,22,,TS21 1BB,,STOCKTON ON TEES
POINT (440486.983226439 514564.628176849),Egglescliffe School & Arts College,Education & Training Education Facility,Education & Training,Education Facility,31,,TS16 0LA,,STOCKTON ON TEES
POINT (440486.983226439 514564.628176849),RDW Creative,"Financial & Professional Services Advertising-Marketing, PR and Market Research",Financial & Professional Services,"Advertising-Marketing, PR and Market Research",67,Urlay Nook Road,TS16 0LA,,STOCKTON ON TEES
POINT (440486.983226439 514564.628176849),Advanced Vehicle Leasing,Financial & Professional Services Finance and Insurance,Financial & Professional Services,Finance and Insurance,72,Urlay Nook Road,TS16 0LA,,STOCKTON ON TEES
POINT (440486.983226439 514564.628176849),Thornberry Catering,Food & Drink Catering and Food Services,Food & Drink,Catering and Food Services,87,Urlay Nook Road,TS16 0LA,,STOCKTON ON TEES
POINT (440495.740601906 512408.119869949),T B & R Jordan,"Entertainment, Arts & Leisure Gallery","Entertainment, Arts & Leisure",Gallery,46,,TS16 0QN,,STOCKTON ON TEES
POINT (440495.740601906 512408.119869949),Tanfield Brothers,"Construction, Manufacturing & Trades Construction","Construction, Manufacturing & Trades",Construction,18,,TS16 0QN,,STOCKTON ON TEES
POINT (440708.242291276 521779.257351946),Design by Kreation,"Financial & Professional Services Advertising-Marketing, PR and Market Research",Financial & Professional Services,"Advertising-Marketing, PR and Market Research",67,5 Letch Lane,TS21 1,,STOCKTON ON TEES
POINT (440729.607681055 519615.671593051),Teesside Barber,"Construction, Manufacturing & Trades Specialty Trade Contractors","Construction, Manufacturing & Trades",Specialty Trade Contractors,30,289 Surbiton Road,TS19 7SA,,STOCKTON ON TEES
POINT (440751.743427596 519533.409085502),Eeh Driveways Property Services Limited,Financial & Professional Services Property Management,Financial & Professional Services,Property Management,81,3 Kirkwall Close,TS19 7SE,,STOCKTON ON TEES
POINT (440758.439322656 519667.00734159),Jamies Handyman Service,"Construction, Manufacturing & Trades Landscaping Services","Construction, Manufacturing & Trades",Landscaping Services,22,5 Armadale Close,TS19 7SD,,STOCKTON ON TEES
POINT (440768.054069891 519813.985578242),Tees Valley Music Service,Education & Training Education Facility,Education & Training,Education Facility,31,Bishopton Road West,TS19 7,,STOCKTON ON TEES
POINT (440784.196270762 519505.099310677),Southern Approach,"Entertainment, Arts & Leisure Sports Facility-Venue","Entertainment, Arts & Leisure",Sports Facility-Venue,64,14 Kirkwall Close,TS19 7SE,,STOCKTON ON TEES
POINT (440804.628134882 519570.270590892),Ascent Property Investment,Financial & Professional Services Property Management,Financial & Professional Services,Property Management,81,29 Barrhead Close,TS19 7SB,,STOCKTON ON TEES
POINT (440827.108663089 519283.252348679),Alison's Beauty Spa,Health & Wellness Hair and Beauty,Health & Wellness,Hair and Beauty,122,207 Surbiton Road,TS19 7SF,,STOCKTON ON TEES
POINT (440832.39759818 519740.33543231),H L Construction Limited,"Construction, Manufacturing & Trades Construction","Construction, Manufacturing & Trades",Construction,18,330 Surbiton Road,TS19 7SA,,STOCKTON ON TEES
POINT (440832.930553151 519427.637305304),Martins Cleaning Carpet and Upholstery,"Construction, Manufacturing & Trades Repair and Maintenance Services","Construction, Manufacturing & Trades",Repair and Maintenance Services,28,246 Surbiton Road,TS19 7SF,,STOCKTON ON TEES
POINT (440851.169702171 519513.821529461),DC Joinery & Property Services,Retail & Consumer Goods Floor and Carpet,Retail & Consumer Goods,Floor and Carpet,156,35 Kirkwall Close,TS19 7SE,,STOCKTON ON TEES
POINT (440860.016645029 519161.025970489),Northern Housing Investments,Financial & Professional Services Financial Investment Firm,Financial & Professional Services,Financial Investment Firm,73,187 Surbiton Road,TS19 7SH,,STOCKTON ON TEES
POINT (440897.490826875 518312.956769719),Stockton Caravan Storage & Sales,Retail & Consumer Goods Used Car Dealer,Retail & Consumer Goods,Used Car Dealer,178,Yarm Back Lane,TS21 1AT,,STOCKTON ON TEES
POINT (440916.312160565 524346.970691946),Fulthorpe Garage,Automotive & Transport Car Repair,Automotive & Transport,Car Repair,4,Wynyard Road,TS21 3JQ,,STOCKTON ON TEES
POINT (440924.684881748 520033.50048229),Springwood,Health & Wellness Medical Services-Clinics,Health & Wellness,Medical Services-Clinics,128,,TS19 8TG,,STOCKTON ON TEES
POINT (440933.688313338 514462.671025922),Cleveland & Durham Police Training Centre,Food & Drink Restaurant,Food & Drink,Restaurant,100,Urlay Nook Road,TS16 0,,STOCKTON ON TEES
POINT (440942.837077418 519912.58807996),Around the House Furniture,Retail & Consumer Goods Furniture Store,Retail & Consumer Goods,Furniture Store,159,71 Wimpole Road,TS19 7LR,,STOCKTON ON TEES
POINT (440952.187271608 527603.352688648),MR Darren Yorke,Other Commercial Services Apartment Rental-Flat Rental,Other Commercial Services,Apartment Rental-Flat Rental,141,Black Wood,TS22 5GQ,,STOCKTON ON TEES
POINT (440952.447816824 523847.29931444),The Willow Barn,"Entertainment, Arts & Leisure Landmark-Attraction","Entertainment, Arts & Leisure",Landmark-Attraction,51,Blakeston Lane,TS21 3LQ,,STOCKTON ON TEES
POINT (440952.447816824 523847.29931444),Lush Lawns,"Construction, Manufacturing & Trades Landscaping Services","Construction, Manufacturing & Trades",Landscaping Services,22,Blakeston Lane,TS21 3LQ,,STOCKTON ON TEES
POINT (440962.255112268 519340.659916335),Sharps Mobility,Health & Wellness Healthcare and Healthcare Support Services,Health & Wellness,Healthcare and Healthcare Support Services,124,Thurso Close,TS19 7JD,,STOCKTON ON TEES
POINT (440962.255112268 519340.659916335),Northeast Painting & Decorating Services,"Construction, Manufacturing & Trades Repair and Maintenance Services","Construction, Manufacturing & Trades",Repair and Maintenance Services,28,Thurso Close,TS19 7JD,,STOCKTON ON TEES
POINT (440966.22091931 519475.235787463),Security Defence Academy,Education & Training Training and Development,Education & Training,Training and Development,34,Ullapool Close,TS19 7JE,,STOCKTON ON TEES
POINT (440968.533172791 519181.472124068),The Crafty Geezer,Retail & Consumer Goods Specialty Store,Retail & Consumer Goods,Specialty Store,176,,TS19 7SW,,STOCKTON ON TEES
POINT (440970.120291966 514319.669670156),Designs Creative,"Financial & Professional Services Advertising-Marketing, PR and Market Research",Financial & Professional Services,"Advertising-Marketing, PR and Market Research",67,Middleton Close,TS16 0GA,,STOCKTON ON TEES
POINT (440992.75735266 519969.345094888),The Little Beauty Box,Health & Wellness Hair and Beauty,Health & Wellness,Hair and Beauty,122,Wimpole Road,TS19 7LR,,STOCKTON ON TEES
POINT (440999.886838425 519787.351167315),Anderson Aerospace Inspection Services,"Construction, Manufacturing & Trades Engineering and Scientific Services","Construction, Manufacturing & Trades",Engineering and Scientific Services,19,1 Abbey Close,TS19 7SP,,STOCKTON ON TEES
POINT (441026.042797879 519754.646629664),Primrose Valley Caravan Hire,Hospitality & Lodging Guest House,Hospitality & Lodging,Guest House,134,9 Wimpole Road,TS19 7LP,,STOCKTON ON TEES
POINT (441029.369946779 514216.711632659),Durhams Transport Training,Education & Training Education Facility,Education & Training,Education Facility,31,Langdon Way,TS16 0GE,,STOCKTON ON TEES
POINT (441029.369946779 514216.711632659),Primary Maths Tutor,Education & Training School,Education & Training,School,33,Langdon Way,TS16 0GE,,STOCKTON ON TEES
POINT (441054.205185681 518032.155464717),SC Doherty,Other Commercial Services Commercial Services,Other Commercial Services,Commercial Services,142,Yarm Back Lane,TS21 1AR,,STOCKTON ON TEES
POINT (441054.205185681 518032.155464717),Hawkes Fire,"Construction, Manufacturing & Trades Locksmiths and Security Systems Services","Construction, Manufacturing & Trades",Locksmiths and Security Systems Services,23,Yarm Back Lane,TS21 1AR,,STOCKTON ON TEES
POINT (441071.877917937 519194.530312374),Stance,Education & Training Education Facility,Education & Training,Education Facility,31,11 Denshaw Close,TS19 7SJ,,STOCKTON ON TEES
POINT (441084.580192674 518710.12704012),Special Gifts4u,"Retail & Consumer Goods Gift, Antique and Art",Retail & Consumer Goods,"Gift, Antique and Art",162,Surbiton Road,TS18 5PZ,,STOCKTON ON TEES
POINT (441085.605562786 519997.332972666),Becca's Brow & Beauty Lounge,Health & Wellness Hair Salon,Health & Wellness,Hair Salon,123,84 Wimpole Road,TS19 7LR,,STOCKTON ON TEES
POINT (441088.806623267 519670.302784556),The Brick Bank Limited,Retail & Consumer Goods Home Improvement-Hardware Store,Retail & Consumer Goods,Home Improvement-Hardware Store,165,239 Bishopton Road West,TS19 7LX,,STOCKTON ON TEES
POINT (441104.712121435 519763.700652097),Jer Property Maintenance and Facility Management,Financial & Professional Services Property Management,Financial & Professional Services,Property Management,81,35 Biretta Close,TS19 7LW,,STOCKTON ON TEES
POINT (441104.916862468 518634.972760705),Quad Security Solutions,"Construction, Manufacturing & Trades Locksmiths and Security Systems Services","Construction, Manufacturing & Trades",Locksmiths and Security Systems Services,23,35 Surbiton Road,TS18 5PZ,,STOCKTON ON TEES
POINT (441137.397215249 519652.267602259),Khanda Healthcare,Health & Wellness Healthcare and Healthcare Support Services,Health & Wellness,Healthcare and Healthcare Support Services,124,237 Bishopton Road West,TS19 7LX,,STOCKTON ON TEES
POINT (441143.943540913 520102.575377203),Bishopsgarth School Maths & Computing,Education & Training School,Education & Training,School,33,Harrowgate Lane,TS19 8,,STOCKTON ON TEES
POINT (441144.523951647 518976.183212359),Miller Filter Co,"Construction, Manufacturing & Trades Engineering and Scientific Services","Construction, Manufacturing & Trades",Engineering and Scientific Services,19,20 Greenfields Way,TS18 5QD,,STOCKTON ON TEES
POINT (441151.806479709 520155.505461904),Mitre,Food & Drink Restaurant,Food & Drink,Restaurant,100,Harrowgate Lane,TS19 8,,STOCKTON ON TEES
